"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MASTL",2.70671318247651e-07,0.405690833819987,0.989,0.775,0.00285937180596818,"1","MASTL"
"NKAP",2.70671318247651e-07,0.560945808114972,0.966,0.784,0.00285937180596818,"1","NKAP"
"CPSF4",2.72223120934001e-07,0.53901359512736,0.932,0.683,0.00287576504954679,"1","CPSF4"
"KCTD3",2.75568555974104e-07,0.556986971684036,0.966,0.72,0.00291110622531043,"1","KCTD3"
"PSMC3",2.75578116770703e-07,0.384912136509673,1,0.995,0.0029112072255657,"1","PSMC3"
"NF1",2.75860214005164e-07,0.474538179712395,0.966,0.931,0.00291418730075055,"1","NF1"
"MIEF2",2.77078173072098e-07,0.351344499585021,0.909,0.537,0.00292705382033365,"1","MIEF2"
"ACSL1",2.78577000800695e-07,0.476741542313937,0.92,0.619,0.00294288743645854,"1","ACSL1"
"AP1B1",2.79098825162194e-07,0.570120049491809,0.989,0.817,0.00294839998901342,"1","AP1B1"
"MCM7",2.81750293540384e-07,0.433222499839136,1,0.95,0.00297641010096061,"1","MCM7"
"DYNC2LI1",2.81883448804976e-07,0.347764348823692,0.943,0.592,0.00297781675317577,"1","DYNC2LI1"
"MRPL47",2.83896746999801e-07,0.489766570002185,1,0.95,0.0029990852353059,"1","MRPL47"
"NCBP2",2.83977885651154e-07,0.514866246478288,1,0.959,0.00299994238401879,"1","NCBP2"
"RAB5C",2.84075277967588e-07,0.336752887453356,1,0.995,0.0030009712364496,"1","RAB5C"
"ANKHD1",2.86230607438043e-07,0.439145347228867,1,0.982,0.00302374013697548,"1","ANKHD1"
"RNF168",2.87091954653818e-07,0.506133260027046,0.989,0.95,0.00303283940896293,"1","RNF168"
"MRPL14",2.88414901072898e-07,0.387200707740778,0.989,0.991,0.00304681501493409,"1","MRPL14"
"FAM120AOS",2.8893973880173e-07,0.510878369016821,1,0.894,0.00305235940070148,"1","FAM120AOS"
