"gene","logFC_hyp","logFC_circ","score"
"MEGF8",-2.08078390907569,-0.169570089753156,2.25035399882885
"CACNB2",1.65039452549492,0.594207424609656,2.24460195010458
"ITGA5",-1.32712318839544,-0.917203326784825,2.24432651518026
"CADPS2",1.1591525387433,1.07690530766497,2.23605784640827
"HSPA12A",2.03402814524931,0.199472178068502,2.23350032331781
"ADM2",2.17403615722591,0.0562647795199531,2.23030093674587
"CDH3",1.84519604102478,0.382305885163963,2.22750192618874
"LENG1",2.14192852108716,0.0853679973154757,2.22729651840264
"PHF7",-1.96543722761208,-0.261679346405717,2.2271165740178
"RNF144B",2.21692922583951,0.00965828013953374,2.22658750597904
"IPMK",1.81185053930745,0.413607620962265,2.22545816026971
"STK36",1.97799170496397,0.247453633112626,2.2254453380766
"ADAMTS15",1.27567861817017,0.936992571513247,2.21267118968341
"PDE8A",1.50608752211013,0.703907669098766,2.2099951912089
"TLE6",-1.44631257097788,-0.761012382292322,2.2073249532702
"TNS3",0.835903131932689,1.35430390980933,2.19020704174202
"ACVR1",2.18555566613558,0.00304012773120732,2.18859579386679
"HYAL3",-2.04083689486881,-0.145018282960566,2.18585517782938
"ADCK1",1.74746363211886,0.43716575442286,2.18462938654172
"H2AC6",1.71751830282517,0.464895928172307,2.18241423099747
"ARHGEF11",2.15036003184005,0.030394759736148,2.18075479157619
"ADSS1",1.86691830936287,0.311898615317056,2.17881692467993
"INSR",1.805796579809,0.370622335263028,2.17641891507203
"C5orf34",1.68376585358833,0.481664144677278,2.16542999826561
"GDPD3",1.30230359071549,0.861072805521377,2.16337639623687
"USP7",1.59875324445291,0.553300451432041,2.15205369588495
"ZNF704",2.05180685874272,0.0973530536553349,2.14915991239805
"CLDN23",2.13655390462214,0.0124735150617736,2.14902741968391
"MRM1",1.98951281779377,0.157232952420356,2.14674577021412
"ABCA5",1.69848177801949,0.439318404041279,2.13780018206077
"ZNF708",1.95049414861724,0.186787104704634,2.13728125332187
"WWC1",1.59893318398916,0.535936149164793,2.13486933315395
"TBC1D19",-2.01635013011391,-0.118491901558233,2.13484203167215
"ZNF641",-1.76592285064365,-0.367907700105531,2.13383055074918
"SMARCA2",1.80151259623385,0.331972149709226,2.13348474594308
"DNAJB9",1.79960972325174,0.331227133885025,2.13083685713676
"TRRAP",2.04002546788579,0.0842474484702072,2.124272916356
"TMEM8B",2.0269953043171,0.0965526329134159,2.12354793723052
"NPHP3-ACAD11",2.02096623262988,0.0982458281582916,2.11921206078817
"CC2D1B",-1.53266970525101,-0.583838566854401,2.11650827210541
"TSACC",-1.44499052426318,-0.662068845776369,2.10705937003955
"ZNF462",1.94297273074104,0.161622392398056,2.1045951231391
"CDKL1",-2.0366120599703,-0.0664776830475982,2.1030897430179
"DDHD1",1.70208049410658,0.398314249547341,2.10039474365392
"SLC16A13",-1.84704731621103,-0.250562804995616,2.09761012120665
"SYCP3",1.34872945260596,0.744267487734445,2.0929969403404
"ACCS",2.05582818090827,0.0349003486457717,2.09072852955404
"CBR4",1.92523114616233,0.165286822806301,2.09051796896863
"ZNF836",1.56986825230178,0.518117967174088,2.08798621947587
"WDFY3",1.80351799566529,0.283044854413265,2.08656285007856
"ZNF140",1.41514081995229,0.671000939630044,2.08614175958234
"UTP20",1.75998700226374,0.321182290113819,2.08116929237756
"EMILIN3",1.80057600179656,0.274279619859882,2.07485562165644
"SWSAP1",-1.38568284056453,-0.683568845877817,2.06925168644235
"DBP",-1.6620565695342,-0.403535686425962,2.06559225596016
"SPTBN2",1.905623453806,0.155389893343423,2.06101334714942
"ARL6",-1.73354100279829,-0.325549501297432,2.05909050409573
"IER3",1.66328570260231,0.395045782217077,2.05833148481939
"ZNF248",-0.877396912646276,-1.17949655749266,2.05689347013893
"DNAH2",1.7968515978237,0.260025315055656,2.05687691287935
"IQGAP2",0.602722839515982,1.45277969226041,2.05550253177639
"ENPP5",1.73006412106486,0.315951355511657,2.04601547657652
"RNF215",-1.89039756287876,-0.148521745543967,2.03891930842272
"RSBN1L",1.6560584787339,0.377864178612814,2.03392265734671
"TSNAX-DISC1",1.9080374671528,0.123720382354299,2.0317578495071
"CES4A",1.92434029647137,0.105971758458967,2.03031205493033
"RASGRP1",1.00386124472806,1.02372813055759,2.02758937528566
"THAP1",-1.7101871704176,-0.313968666602212,2.02415583701981
"FOSB",-0.476069990163111,-1.54657514827682,2.02264513843993
"RAB29",1.84625653706431,0.174709476540785,2.02096601360509
"RFX1",1.82594451257566,0.194793378472843,2.02073789104851
"DET1",-1.20768808795498,-0.810125888351499,2.01781397630648
"STS",0.679334723996385,1.33764805082942,2.0169827748258
