"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADSS1",0.0189267595304514,1.86691830936287,0.786,0.5,1
"NEO1",0.0189710029746049,1.30380892490541,0.929,0.562,1
"OTUD1",0.0189710029746049,1.2583362990495,0.929,0.562,1
"DENND4C",0.0190959766074994,1.11830514448779,1,0.875,1
"GDF15",0.0191761704287174,2.67687827787019,0.857,0.5,1
"CCNG2",0.0191796774471382,3.02687566113041,0.929,0.75,1
"EXD3",0.0191796774471382,2.24576595683834,0.929,0.75,1
"RAPGEF2",0.0191796774471382,1.30737853087632,0.929,0.75,1
"TGFB3",0.0192470672128675,0.277488978640072,0.857,0.312,1
"BAHCC1",0.0192470672128675,2.2425895467435,0.714,0.438,1
"INTS7",0.019357888994959,1.10979067867418,0.929,0.875,1
"CXXC5",0.019399560625604,1.075904401229,1,0.938,1
"KLHL24",0.019399560625604,1.16017305868407,1,0.938,1
"METAP1",0.019399560625604,1.45288656710667,1,0.938,1
"PRICKLE2",0.019399560625604,1.87346049171539,1,0.938,1
"SORT1",0.019399560625604,1.0941419783491,1,0.938,1
"TRAF5",0.019399560625604,0.983421442976054,1,0.938,1
"VPS4B",0.019399560625604,1.02717970205644,1,0.938,1
"ENAH",0.019399560625604,0.868134544268727,1,1,1
"MRNIP",0.019399560625604,1.52998042439591,1,1,1
"PDCD4",0.019399560625604,1.37536928307892,1,1,1
"PLEKHA1",0.019399560625604,1.59586188152945,1,1,1
"RRM2B",0.019399560625604,1.4642387225275,1,1,1
"TACSTD2",0.019399560625604,1.38929645019003,1,1,1
"TM9SF3",0.019399560625604,1.03898092278018,1,1,1
"UGGT1",0.019399560625604,0.992551930911002,1,1,1
"UNC45A",0.019399560625604,0.654137289157636,1,1,1
"UQCRC2",0.019399560625604,0.804984608908547,1,1,1
"FAN1",0.0194048005237148,2.34363690246894,0.643,0.25,1
"RBM12B",0.0196689821583875,2.24218237152523,0.929,0.688,1
"TSGA10",0.0197901049475262,2.50722575113355,0.571,0.125,1
"METTL18",0.0202810737733987,1.1841522557377,0.929,0.5,1
"SLC25A38",0.0202810737733987,1.32182505926243,0.857,0.562,1
"GPSM1",0.0211853068993539,1.02460283053251,0.786,0.438,1
"ZBTB46",0.0213535337594362,2.30161216347821,0.857,0.438,1
"IRF2BP1",0.0213535337594362,1.19270509681952,0.786,0.5,1
"LRRC61",0.0213893053473264,3.02790245184274,0.5,0.125,1
"SWT1",0.0213893053473264,3.07161405818561,0.5,0.125,1
"CC2D1A",0.0214978303761775,0.900631803919494,1,0.875,1
"CPEB2",0.0214978303761775,1.7551606643521,1,0.875,1
"GDE1",0.0214978303761775,1.13177664169627,1,0.875,1
"INTS8",0.0214978303761775,0.929655637551438,1,0.875,1
"STAP2",0.0214978303761775,1.22430579088403,1,0.875,1
"PCYT1A",0.0218437599225843,1.40771864132553,0.929,1,1
"CXorf38",0.0218437599225843,0.847893939624607,1,0.938,1
"CHMP3",0.0218437599225843,0.347340279306496,1,1,1
"CREBRF",0.0218437599225843,1.84773591527448,1,1,1
"SAMHD1",0.0218437599225843,1.02108779360914,1,1,1
"STOM",0.0218437599225843,1.04715106569046,1,1,1
"TAF7",0.0218437599225843,0.5293538868562,1,1,1
"ZNF57",0.0221388445783988,0.522427753051222,0.857,0.375,1
"DCUN1D3",0.0221390783796269,0.643978562357706,0.929,0.688,1
"SLC10A7",0.0221870351374021,0.440716698539599,0.714,0.188,1
"HOXB5",0.0221870351374021,2.14671748426004,0.643,0.25,1
"RNF144B",0.0227291789261888,2.21692922583951,0.857,0.625,1
"CIDEB",0.0238120912024209,0.961655269765185,0.714,0.25,1
