"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0151966534792459,1.38055577121468,1,1,1,"STXBP3"
0.0151966534792459,1.19275250224142,1,1,1,"TPMT"
0.0151966534792459,-1.59144328649943,1,1,1,"WAPL"
0.0151966534792459,0.991204749413253,1,1,1,"WIPF2"
0.0153167447923792,2.48409566908985,0.714,0.375,1,"TSPAN12"
0.0155609295455472,1.19032505275749,0.929,0.812,1,"GABPA"
0.0155609295455472,1.25172174225393,0.929,0.812,1,"PRICKLE3"
0.0158052930878902,-0.504918047733866,0.929,0.438,1,"BCORL1"
0.0158987448140397,0.806838338674321,0.929,0.5,1,"SPIN4"
0.0166071900410301,2.42067105582339,0.857,0.688,1,"STON2"
0.016923701891745,1.28230345360643,1,0.875,1,"EXOC4"
0.016923701891745,1.15432761774835,1,0.875,1,"MGRN1"
0.016923701891745,1.31206731832407,1,0.875,1,"MYO6"
0.0169910779044604,1.32357746846005,1,0.688,1,"POGLUT1"
0.0169910779044604,2.32611316809656,0.929,0.75,1,"ABCC6"
0.0169910779044604,1.04998641374935,0.929,0.75,1,"EPHA1"
0.0169910779044604,2.08881512666355,0.929,0.75,1,"POLN"
0.0170032630743455,3.35085066972535,0.786,0.375,1,"IDUA"
0.0170809400941084,-2.11443674455682,0.429,0.75,1,"C9orf40"
0.0171440939317063,-1.98178212204939,0.857,0.938,1,"PSTK"
0.0171440939317063,-2.65625902915169,0.929,0.875,1,"SNAPC3"
0.0171524557638623,1.12301887399321,1,0.812,1,"PIGM"
0.0171894651229597,-0.795985204088695,0.929,1,1,"CHMP6"
0.0171894651229597,1.04609886262349,1,0.938,1,"AK4"
0.0171894651229597,1.64519664585248,1,1,1,"ADGRV1"
0.0171894651229597,-0.582019104969517,1,1,1,"FUS"
0.0171894651229597,1.3952578041521,1,1,1,"GANC"
0.0171894651229597,0.601354245251566,1,1,1,"GTF2H5"
0.0171894651229597,-0.888761796884054,1,1,1,"RAD23A"
0.0171894651229597,-0.409370531331765,1,1,1,"SEC13"
0.0171894651229597,0.985920909392959,1,1,1,"TMEM154"
0.0171894651229597,-0.673890832827777,1,1,1,"UBE2G2"
0.0173701109541542,1.22511187143919,0.857,0.375,1,"LYSMD1"
0.017455228354176,1.13009407610654,0.929,0.938,1,"UBXN2B"
0.0175353946693664,-1.36609341780004,0.929,0.938,1,"CHTF8"
0.0175353946693664,-1.7560139707144,0.929,0.938,1,"GPATCH11"
0.017888695830963,1.34386297506437,0.929,0.438,1,"CGNL1"
0.017888695830963,1.10437696426023,0.929,0.438,1,"DNLZ"
0.017888695830963,1.64915525250063,0.929,0.438,1,"SLC29A2"
0.017888695830963,1.85139766070184,0.786,0.562,1,"CBX8"
0.0179776778277527,3.99327333323616,0.571,0.188,1,"VARS2"
0.018350522021411,-2.02352554067772,0.714,0.875,1,"BLOC1S4"
0.0183742734755796,1.22242934318211,1,0.625,1,"DNAJC4"
0.0183742734755796,2.0104204742501,1,0.625,1,"SUSD6"
0.0186804568132157,1.57390238127892,0.714,0.25,1,"CPNE7"
0.0187083754304485,1.45603658358147,0.714,0.312,1,"CMTM8"
0.0187499232839714,1.87543191463739,0.786,0.438,1,"TAPBPL"
0.0187499232839714,-1.76592285064365,0.786,0.438,1,"ZNF641"
0.0187527839107622,1.70212327591227,1,0.75,1,"TCEANC"
0.018926759530451,1.86691830936287,0.786,0.5,1,"ADSS1"
0.0189710029746049,1.30380892490541,0.929,0.562,1,"NEO1"
0.0189710029746049,1.2583362990495,0.929,0.562,1,"OTUD1"
0.0190069120926293,-0.960294233676163,0.857,1,1,"TSSC4"
0.0190959766075003,1.11830514448779,1,0.875,1,"DENND4C"
0.0191761704287174,2.67687827787019,0.857,0.5,1,"GDF15"
0.0191796774471384,3.02687566113041,0.929,0.75,1,"CCNG2"
0.0191796774471384,2.24576595683834,0.929,0.75,1,"EXD3"
0.0191796774471384,1.30737853087632,0.929,0.75,1,"RAPGEF2"
0.019247067212868,0.277488978640072,0.857,0.312,1,"TGFB3"
0.019247067212868,2.2425895467435,0.714,0.438,1,"BAHCC1"
0.0193487982530922,-1.3795620603776,0.786,1,1,"ODC1"
0.0193487982530922,-0.536456461716722,0.786,1,1,"PIGL"
0.0193487982530922,-1.75052707762201,0.857,0.938,1,"CCNYL1"
0.019357888994959,1.10979067867418,0.929,0.875,1,"INTS7"
0.019399560625604,-1.28789554966121,0.929,1,1,"USP48"
0.019399560625604,1.075904401229,1,0.938,1,"CXXC5"
0.019399560625604,1.16017305868407,1,0.938,1,"KLHL24"
0.019399560625604,1.45288656710667,1,0.938,1,"METAP1"
0.019399560625604,1.87346049171539,1,0.938,1,"PRICKLE2"
0.019399560625604,1.0941419783491,1,0.938,1,"SORT1"
0.019399560625604,0.983421442976054,1,0.938,1,"TRAF5"
0.019399560625604,1.02717970205644,1,0.938,1,"VPS4B"
0.019399560625604,0.868134544268727,1,1,1,"ENAH"
0.019399560625604,-0.453864072844318,1,1,1,"HNRNPA2B1"
0.019399560625604,1.52998042439591,1,1,1,"MRNIP"
0.019399560625604,1.37536928307892,1,1,1,"PDCD4"
0.019399560625604,1.59586188152945,1,1,1,"PLEKHA1"
0.019399560625604,1.4642387225275,1,1,1,"RRM2B"
0.019399560625604,1.38929645019003,1,1,1,"TACSTD2"
0.019399560625604,1.03898092278018,1,1,1,"TM9SF3"
0.019399560625604,0.992551930911002,1,1,1,"UGGT1"
0.019399560625604,0.654137289157636,1,1,1,"UNC45A"
0.019399560625604,0.804984608908547,1,1,1,"UQCRC2"
0.0194048005237144,2.34363690246894,0.643,0.25,1,"FAN1"
0.01966898215839,2.24218237152523,0.929,0.688,1,"RBM12B"
0.0197901049475258,2.50722575113355,0.571,0.125,1,"TSGA10"
0.0197922091585786,-1.26856510691531,0.929,0.938,1,"PCIF1"
0.0202810737733989,1.1841522557377,0.929,0.5,1,"METTL18"
0.0202810737733989,1.32182505926243,0.857,0.562,1,"SLC25A38"
0.0211853068993533,1.02460283053251,0.786,0.438,1,"GPSM1"
0.0213535337594355,2.30161216347821,0.857,0.438,1,"ZBTB46"
0.0213535337594355,1.19270509681952,0.786,0.5,1,"IRF2BP1"
0.0213893053473262,3.02790245184274,0.5,0.125,1,"LRRC61"
0.0213893053473262,3.07161405818561,0.5,0.125,1,"SWT1"
0.0214978303761784,0.900631803919494,1,0.875,1,"CC2D1A"
0.0214978303761784,1.7551606643521,1,0.875,1,"CPEB2"
0.0214978303761784,1.13177664169627,1,0.875,1,"GDE1"
0.0214978303761784,0.929655637551438,1,0.875,1,"INTS8"
0.0214978303761784,1.22430579088403,1,0.875,1,"STAP2"
